Country,Income share held by second 20%,Income share held by third 20%,Income share held by fourth 20%,Income share held by highest 20%,Income share held by highest 10%,Income share held by lowest 10%,Income share held by lowest 20%,Poverty headcount ratio at $2 a day (PPP) (% of population),Poverty headcount ratio at $1.25 a day (PPP) (% of population),Poverty gap at $2 a day (PPP) (%),Poverty gap at $1.25 a day (PPP) (%),GINI index,Poverty gap at national poverty line (%),Poverty headcount ratio at national poverty line (% of population),Poverty gap at rural poverty line (%),Poverty headcount ratio at rural poverty line (% of rural population),Poverty gap at urban poverty line (%),Poverty headcount ratio at urban poverty line (% of urban population)
KHM,11,14.9,2.64,45.92,31.36,3.34,7.54,53.27,22.75,17.41,4.87,37.85,7.2,3.1,8.3,34.5,2.8,11.8
CMR,1.49,14.94,21.67,46.17,3.36,2.91,6.73,3.36,9.56,8.21,1.2,38.91,12.3,39.9,17.5,55,2.8,12.2
CAN,12.73,17.18,22.95,39.94,24.79,2.63,7.2,,,,,32.56
CPV,7.91,12.27,19.38,55.9,4.64,1.88,4.54,4.85,21.2,15.19,6.5,5.52,8.1,26.6,14.3,44.3,3.3,13.2
CYM
CAF,6.87,11.12,18.4,6.6,46.13,1.22,3.37,8.9,62.83,46.78,31.26,56.3,33.1,62,35,69.4,29.8,49.6
TCD,1.4,15.3,21.75,46.56,3.79,2.61,6.26,83.28,61.94,43.92,25.64,39.78,21.6,55,23.3,58.6,7.4,24.6
CHI
CHL,7.94,11.74,18.36,57.7,42.77,1.53,4.26,2.72,1.35,1.16,0.69,52.6,,15.1,,12.9,,15.5
CHN,9.85,14.99,22.24,47.93,31.97,1.79,4.99,29.79,13.6,1.6,3.24,42.48,,2.8,,2.5
COL,6.83,11.23,18.79,6.15,44.43,0.87,3,15.82,8.16,6.79,3.78,55.91,,34.1,,46.1,,3.3
COM,5.35,8.94,15.14,68.2,55.19,0.91,2.55,64.98,46.11,34.18,2.82,64.3,16.3,44.8,17.8,48.7,12.1,34.5
COD,9.2,13.79,2.94,5.6,34.69,2.29,5.47,95.15,87.72,67.58,52.76,44.43,32.2,71.3,34.9,75.7,26.2,61.5
COG,8.44,13.1,2.45,53.14,37.5,2.8,4.96,74.4,54.1,38.82,22.82,47.32,18.9,46.5,2.6,74.8
CRI,8,12.41,19.87,55.87,39.5,1.23,3.85,5.97,3.12,2.73,1.79,5.73,,24.8,,29.3,,22
CIV,1.7,14.9,21.8,47.63,31.75,2.23,5.6,46.34,23.75,17.79,7.5,41.5,15.3,42.7,2.3,54.2,9.5,29.4
HRV,12.21,16.16,21.62,41.96,27.48,3.33,8.5,0.9,0.6,0.9,0.9,33.65,2.6,11.1
CUB
CUW
CYP
CZE
DNK
DJI,1.51,15.21,21.78,46.47,3.91,2.42,6.3,41.2,18.84,14.58,5.29,39.96
DMA
DOM,8.59,13.15,2.81,52.78,36.41,1.81,4.67,9.88,2.24,2.39,0.52,47.2,,4.42787,,48.43985,,36.5389
ECU,8.23,12.98,2.71,53.79,38.32,1.35,4.29,1.59,4.61,4.8,2.1,49.26,,28.6,,5.9,,17.4
EGY,13.2,16.37,21.3,4.34,26.58,3.96,9.24,15.43,1.69,2.84,0.38,3.77,3.6,22,,3,,1.6
SLV,8.83,13.7,2.67,53.9,37,1.3,3.71,16.94,8.97,7.6,4.44,48.33,,42.5,,46.5,,33.3
GNQ,,,,,,,,,,,,,45.3,76.8,49.8,79.9,67,31.5
ERI
EST,11.64,16.2,22.18,43.18,27.97,2.71,6.8,1.54,0.46,0.48,0.23,36
ETH,13.22,16.78,21.33,39.41,25.63,4.5,9.26,77.63,38.96,28.85,9.6,29.83,7.8,29.6,8,3.4,6.9,25.7
FRO
FJI,9.87,14.7,2.27,49.59,34.87,2.64,6.2,22.9,5.88,5.98,1.14,42.83,1.1,31,14.8,43.3,5.4,18.6
FIN,14.7,17.47,22.14,36.7,22.57,4.2,9.62,,,,,26.88
FRA
PYF
GAB,1.12,14.54,21,48.18,32.95,2.58,6.16,19.59,4.84,5.2,0.9,41.45,1,32.7,16,44.6,8.5,29.8
GMB,8.56,13.24,2.57,52.84,36.94,1.95,4.79,55.93,33.63,24.38,11.69,47.28,27.9,48.4,,73.9,,32.7
GEO,1.25,15.23,22.5,47.15,31.31,2,5.32,32.21,15.27,11.73,4.57,41.34,7.2,24.7,9.2,3.7,5.3,18.4
DEU,13.72,17.79,23.9,36.88,22.7,3.22,8.52,,,,,28.31
GHA,9.84,14.73,21.64,48.55,32.75,2.3,5.24,51.84,28.59,21.32,9.88,42.76,9.6,28.5,13.5,39.2,3.1,1.8
GRC,11.89,16.84,23.4,41.49,26.4,2.55,6.74,,,,,34.27
GRL
GRD
GUM
GTM,6.85,11.35,18.46,6.26,44.92,1.6,3.8,26.33,13.53,1.47,4.72,55.89,,53.7,,71.4,,35
GIN,1.46,15.1,21.88,46.21,3.34,2.66,6.35,69.59,43.34,31.3,14.96,39.35,17.6,53,22,63,7.7,3.5
GNB,11.64,15.99,21.88,43.21,28.13,3.5,7.28,77.96,48.9,34.88,16.55,35.52,18.4,55.2,22.6,64.7,9.6,35.4
GUY
HTI,6.25,1.36,17.64,63.37,47.67,0.66,2.38,77.51,61.71,46.69,32.31,59.21,,77,,88,,45
HND,6.12,11.42,2.51,59.93,42.4,0.43,2.2,29.84,17.92,14.85,9.35,56.95,,66.2,,71.6,,59.8
HKG
HUN,12.86,16.86,21.98,39.9,25.44,3.54,8.4,0.35,0.17,0.19,0.16,31.18
ISL
IND,12.22,15.81,2.97,42.36,28.26,3.75,8.64,68.72,32.67,24.45,7.49,33.38,6.2,29.8,6.8,33.8,4.5,2.9
IDN,12.3,15.83,21.4,42.76,28.51,3.67,8.34,46.12,18.6,14.29,3.31,34.1,2.1,12.5,2.6,15.7,1.5,9.2
IRN,1.91,15.54,21.96,45.16,29.63,2.62,6.43,8.3,1.45,1.8,0.34,38.28
IRQ,12.75,16.69,21.98,39.88,25.24,3.79,8.7,21.41,2.82,4.42,0.42,3.86,4.5,22.9,9,39.3,2.7,16.1
IRL,12.27,16.31,21.93,42.5,27.23,2.91,7.44,,,,,34.28
IMN
ISR,1.46,15.86,23.4,44.93,28.8,2.14,5.71,,,,,39.2
ITA,11.98,16.75,22.75,42.2,26.8,2.3,6.5,,,,,36.3
JAM,8.99,13.49,2.56,51.61,35.9,2.25,5.35,5.44,0.21,0.84,0.2,45.51,,17.6,,25.1,,1.6
JPN
JOR,11.57,15.67,21.46,43.59,28.7,3.36,7.71,1.59,0.12,0.24,0.3,35.43,2.6,13.3,,19,,12
KAZ,13.15,17.7,22.25,38.41,23.75,4,9.12,1.12,0.11,0.18,0.3,29.4,1.3,8.2
KEN,8.68,13.2,2.8,53.2,37.99,1.96,4.84,67.21,43.37,31.76,16.91,47.68,16.3,45.9,17.5,49.1,11.4,33.7
KIR
PRK
KOR
KSV,,,,,,,,,,,,,9.6,34.5,,35.3,,33.1
KWT
KGZ,11.4,16.3,22.37,43.38,27.79,2.8,6.82,21.69,6.23,5.96,1.36,36.19,,33.7,,39.5,,23.6
LAO,11.33,15.29,2.9,44.84,3.33,3.34,7.64,66,33.88,24.83,8.95,36.74,,27.6,,31.7,,17.4
LVA,11.39,16.7,22.33,43.6,28.1,2.64,6.61,0.37,0.14,0.15,0.1,36.61,,5.9,,12.7
LBN
LSO,7.21,12.52,2.95,56.35,39.4,0.99,2.97,62.25,43.41,33.5,2.76,52.5,,56.6,,6.5,,41.5
LBR,11.35,15.66,21.6,44.95,3.1,2.35,6.44,94.88,83.76,59.62,4.9,38.16,24.4,63.8,26.3,67.7,2.2,55.1
LBY
LIE
LTU,11.12,15.73,22.13,44.4,29.1,2.63,6.62,0.44,0.16,0.16,0.9,37.57
LUX,12.92,17.11,22.69,38.85,23.77,3.5,8.43,,,,,3.76
MAC
MKD,9.49,14.53,21.98,48.87,32.4,2.3,5.13,5.91,0.29,0.89,0.4,43.17,7.2,19,7.7,21.3,6.9,17.7
MDG,9.48,14.9,2.88,5.14,34.68,2.2,5.41,92.62,81.29,6.1,43.26,44.11,26.8,68.7,28.9,73.5,19.3,52
MWI,1.78,14.89,2.79,46.53,31.85,3.2,7.1,9.45,73.86,51.78,32.31,39.2,18.9,5.7,21.4,56.6,4.8,17.3
MYS,8.65,13.72,21.64,51.45,34.65,1.78,4.54,2.27,0.54,0.16,0.6,46.21,0.8,3.8,1.8,8.4,0.3,1.7
MDV,1.88,15.71,22.66,44.24,28.3,2.71,6.51,,,,,37.37
MLI,11.99,16.33,22.41,41.3,25.83,3.47,7.97,78.66,5.43,35.2,16.36,33.2,13.2,43.6,15.6,5.6,4.8,18.9
MLT
MHL
MRT,1.44,15.5,21.51,46.98,31.62,2.43,6.2,47.69,23.43,17.66,6.79,4.46,14.5,42,22.3,59.4,4.9,2.8
MUS
MEX,8.65,13.8,19.87,53.67,38.68,1.81,4.73,5.19,1.15,1.29,0.34,48.28,,51.3,,6.8,,45.5
FSM,5.16,1.2,19.7,63.98,47.12,0.41,1.59,44.69,31.15,24.54,16.32,61.1
MDA,12.19,16.52,22.34,41.15,25.97,3.3,7.8,4.35,0.39,0.73,0.8,33.3,4.5,21.9,6.5,3.3,1.8,1.4
MCO
MNG,11.15,15.62,22.9,44.4,28.38,3.4,7.1,,,,,36.52,,39.2,,47.8,,32.2
MNE,13.13,17.22,22.38,38.77,24.12,3.57,8.5,0.3,0.12,0.12,0.8,29.99,1.1,6.6,1.7,11.3,0.7,4
MAR,1.45,14.54,2.61,47.88,33.22,2.66,6.52,14.3,2.52,3.16,0.54,4.88,,9,,14.5,,4.8
MOZ,9.47,13.74,2.1,51.46,36.73,1.94,5.23,81.77,59.58,42.86,25.13,45.66,21.2,54.7,22.2,56.9,19.1,49.6
MMR
NAM,5.3,8.24,14.96,68.62,54.75,1.39,3.15,51.1,31.91,21.82,9.45,63.9,13,38,16,49,6,17
NPL,12.16,16.22,21.89,41.46,26.52,3.63,8.27,57.25,24.82,19.4,5.55,32.82,5.6,25.2,6,27.4,3.2,15.5
NLD
NCL
NZL
NIC,1.21,14.79,21.54,47.24,31.51,2.61,6.22,31.74,11.91,9.55,2.36,4.47,,42.5,,63.3,,26.8
NER,11.83,15.77,21.25,43.6,28.51,3.55,8.9,75.23,43.62,3.83,12.42,34.55,19.6,59.5,21.2,63.9,11.3,36.7
NGA,8.27,12.98,2.33,54.1,38.23,1.75,4.41,84.49,67.98,5.17,33.74,48.83,22.8,54.7,26.6,63.8,16.2,43.1
MNP
NOR,13.96,17.24,21.98,37.23,23.38,3.86,9.59,,,,,25.79
OMN
PAK,12.94,16.36,21.12,39.98,26.5,4.36,9.6,6.19,21.4,17.94,3.49,3.2,,22.3,,27,,13.1
PLW
PAN,7.75,12.51,2.6,56.38,4.8,1.1,3.3,13.8,6.56,5.11,2.9,51.92,,32.7,,59.8,,17.7
PNG
PRY,7.76,12.77,19.78,56.43,41.11,0.98,3.26,13.22,7.16,5.74,3.2,52.42,4,32.4,44.4,44.8,34.4,23.9
PER,8.34,13.63,21.53,52.59,36.11,1.39,3.91,12.74,4.91,4.1,1.3,48.14,7.8,27.8,18.7,56.5,4,18
PHL,9.42,13.87,21.4,49.69,33.62,2.59,5.98,41.53,18.42,13.78,3.72,42.98,7.2,26.5
POL,11.95,16.23,22.3,42.11,27.5,3.26,7.68,0.2,0.5,0.6,0.3,34.7,,1.6
PRT
PRI
QAT,,,,52,35.9,1.3,3.9,,,,,41.1
ROU,13.6,17.39,22.93,38.3,23.5,3.38,8.32,1.67,0.41,0.46,0.19,3,3.2,13.8,5.3,22.3,1.4,6.8
RUS,1.35,14.77,21.29,47.13,31.68,2.75,6.46,0.5,0.2,0.1,0.1,4.11,2.7,11.1,5.5,21.2,1.7,7.4
RWA,8.28,11.91,17.81,56.84,43.22,2.13,5.16,82.37,63.17,44.6,26.64,5.82,14.8,44.9,26,48.7,8,22.1
WSM
SMR
STP,8.5,12.23,17.69,56.35,43.61,2.21,5.23,54.2,28.18,2.63,7.87,5.82,24.8,66.2
SAU
SEN,1.61,15.32,21.97,45.88,3.14,2.54,6.22,6.36,33.5,24.66,1.8,39.19,14.5,46.7,18.6,57.1,9.2,33.1
SRB,13.7,17.79,22.8,36.85,22.2,3.69,8.86,0.74,0.26,0.28,0.17,27.8,1.3,9.2,2,13.6,0.8,5.7
SYC,5.66,8.32,12.68,69.63,6.16,1.64,3.71,1.84,0.25,0.35,0.7,65.77
SLE,9.65,14.4,2.93,49.29,33.57,2.63,6.9,76.8,53.37,37.53,2.3,42.52,27.5,66.4,34.6,78.5,16.3,47
SGP
SXM
SVK,14.11,17.54,22,36.23,22.41,4.36,1.12,0.12,0.6,0.7,0.6,26
SVN,12.75,17,22.6,39.43,24.64,3.38,8.22,0.1,0.6,0.8,0.8,31.15
SLB
SOM
ZAF,4.63,8.16,16.3,68.21,51.69,1.17,2.7,31.33,13.77,1.16,2.3,63.14,7,23
SSD,,,,,,,,,,,,45.53,23.7,5.6,26.5,55.4,8.8,24.4
ESP,12.9,16.43,22.51,42,26.61,2.57,6.97,,,,,34.66
LKA,1.35,14.4,2.52,47.79,32.94,3.5,6.94,29.13,7.4,7.38,0.98,4.26,1.7,8.9,1.8,9.4,1.2,5.3
KNA
LCA
MAF
VCT
SDN,11.65,16.4,22.73,42.41,26.72,2.74,6.81,44.14,19.8,15.38,5.46,35.29,16.2,46.5,21.3,57.6,7.1,26.5
SUR
SWZ,7.37,12,19.97,56.61,4.12,1.66,4.5,6.4,4.63,29.26,16,51.49,3.4,63,36.9,73.1,1.3,31.1
SWE,13.98,17.57,22.7,36.63,22.18,3.58,9.12,,,,,25
CHE,12.2,16.29,22.63,41.33,25.91,2.88,7.55,,,,,33.68
SYR,11.43,15.53,21.43,43.93,28.93,3.36,7.68,16.85,1.71,3.28,0.2,35.78
TJK,12.75,17.1,22.58,39.37,24.31,3.53,8.29,27.69,6.56,6.97,1.16,3.83,,46.7,,55,,49.4
TZA,11.11,15.56,21.7,44.83,29.61,2.82,6.8,87.87,67.87,47.52,28.1,37.58,9.9,33.4,11,37.4,6.5,21.8
THA,1.28,14.49,21.35,47.21,31.45,2.79,6.67,4.58,0.37,0.77,0.5,4.2,,7.75,,1.41,,2.57
TLS,12.46,16.12,21.2,41.27,27.3,4.1,8.95,72.82,37.44,26.98,8.88,31.93,11.9,49.9
TGO,11.74,16.9,22.15,42.4,27.6,3.27,7.62,69.31,38.68,27.92,11.37,34.41,24.4,58.7,33.1,73.4,1.1,34.6
TON
TTO
TUN,1.14,14.74,21.32,47.88,32.45,2.42,5.92,8.6,1.35,1.76,0.28,41.42,,15.5
TUR,1.93,15.89,22.42,45.6,29.35,2.11,5.7,4.16,1.13,0.74,0.37,38.95,,18.1,,38.7,,8.9
TKM
TCA
TUV
UGA,9.64,13.76,2.3,5.73,36.1,2.35,5.84,64.74,38.1,27.37,12.21,44.3,6.8,24.5,7.6,27.2,1.8,9.1
UKR,13.95,17.69,22.37,36.32,22.4,4.2,9.67,0.17,0.6,0.6,0.4,26.44,0.4,2.9,0.7,4.7,0.3,2
ARE
GBR
USA,1.68,15.66,22.4,45.82,29.85,1.88,5.44,,,,,4.81
URY,8.99,13.74,21.45,5.9,34.36,1.91,4.92,1.18,0.2,0.26,0.7,45.32,2.5,13.7,1,6,2.6,14.3
UZB,11.52,15.67,21.48,44.19,29.47,2.85,7.14,,,,,36.72
VUT
VEN,9.52,14.6,22.18,49.42,33.17,1.2,4.28,12.91,6.63,5.91,3.74,44.77,,31.9
VNM,11.52,15.81,21.84,43.41,28.21,3.18,7.42,43.36,16.85,13.53,3.75,35.57,,14.2,,27,,6
VIR
PSE,11.54,15.83,21.83,43.36,28.18,3.19,7.44,0.34,0.4,0.6,0.1,35.5,4.9,21.9
YEM,11.31,15.27,2.95,45.29,3.82,2.91,7.18,46.6,17.53,14.76,4.18,37.69,8.9,34.8,1.6,4.1,4.5,2.7
ZMB,6.69,11.17,19.16,59.41,43.14,1.45,3.57,82.55,68.51,51.83,37.2,54.63,28,6.5,37.9,77.9,9.3,27.5
ZWE,,,,,,,,,,,,,,72

